Image,Type,Complexity,Causes
290.png,block,3.0,"Join Issues, Inadequate Slab Thickness, Aged/Hardened Bitumen, Tree Roots"
291.png,transverse,1.0,"Join Issues, Underlying Settlement, Inadequate Slab Thickness, Aged/Hardened Bitumen"
292.png,crescent,1.0,Wearing Course Issues
293.png,transverse,1.0,"Join Issues, Underlying Settlement, Inadequate Slab Thickness, Aged/Hardened Bitumen"
294.png,crescent,2.0,Wearing Course Issues
295.png,transverse,1.0,"Join Issues, Underlying Settlement, Inadequate Slab Thickness, Aged/Hardened Bitumen"
296.png,transverse,1.0,"Join Issues, Underlying Settlement, Inadequate Slab Thickness, Aged/Hardened Bitumen"
297.png,transverse,1.0,"Join Issues, Underlying Settlement, Inadequate Slab Thickness, Wearing Course Issues"
298.png,block,2.0,"Join Issues, Inadequate Slab Thickness, Aged/Hardened Bitumen"
299.png,transverse,1.0,"Join Issues, Underlying Settlement, Inadequate Slab Thickness, Wearing Course Issues"
300.png,longitudinal,3.0,"Join Issues, Moisture"
301.png,transverse,1.0,"Join Issues, Underlying Settlement, Inadequate Slab Thickness, Aged/Hardened Bitumen"
302.png,transverse,2.0,"Join Issues, Underlying Settlement, Inadequate Slab Thickness, Aged/Hardened Bitumen"
303.png,transverse,1.0,"Join Issues, Underlying Settlement, Inadequate Slab Thickness, Aged/Hardened Bitumen"
304.png,transverse,3.0,"Join Issues, Underlying Settlement, Inadequate Slab Thickness, Wearing Course Issues, Moisture"
305.png,transverse,1.0,"Join Issues, Underlying Settlement, Inadequate Slab Thickness, Aged/Hardened Bitumen"
306.png,transverse,1.0,"Join Issues, Underlying Settlement, Inadequate Slab Thickness, Aged/Hardened Bitumen"
307.png,transverse,1.0,"Join Issues, Underlying Settlement, Inadequate Slab Thickness, Aged/Hardened Bitumen"
308.png,transverse,1.0,"Join Issues, Underlying Settlement, Inadequate Slab Thickness, Aged/Hardened Bitumen"
309.png,crescent,1.0,"Wearing Course Issues, Moisture"
310.png,transverse,1.0,"Join Issues, Underlying Settlement, Inadequate Slab Thickness, Aged/Hardened Bitumen"
311.png,transverse,1.0,"Join Issues, Underlying Settlement, Inadequate Slab Thickness, Aged/Hardened Bitumen"
312.png,crescent,2.0,Wearing Course Issues
313.png,transverse,1.0,"Join Issues, Underlying Settlement, Inadequate Slab Thickness, Aged/Hardened Bitumen"
314.png,meandering,5.0,"Underlying Settlement, Inadequate Slab Thickness, Moisture, Tree Roots"
315.png,transverse,1.0,"Join Issues, Underlying Settlement, Inadequate Slab Thickness, Moisture, Aged/Hardened Bitumen"
316.png,transverse,1.0,"Join Issues, Underlying Settlement, Inadequate Slab Thickness, Aged/Hardened Bitumen"
317.png,meandering,3.0,"Underlying Settlement, Inadequate Slab Thickness, Tree Roots, Aged/Hardened Bitumen"
318.png,transverse,1.0,"Join Issues, Underlying Settlement, Inadequate Slab Thickness, Aged/Hardened Bitumen"
319.png,transverse,2.0,"Join Issues, Underlying Settlement, Inadequate Slab Thickness, Aged/Hardened Bitumen"
320.png,transverse,4.0,"Join Issues, Underlying Settlement, Inadequate Slab Thickness, Aged/Hardened Bitumen, Moisture"
321.png,block,7.0,"Join Issues, Inadequate Slab Thickness, Aged/Hardened Bitumen"
322.png,meandering,10.0,"Join Issues, Underlying Settlement, Inadequate Slab Thickness, Moisture, Tree Roots, Aged/Hardened Bitumen"
323.png,transverse,1.0,"Join Issues, Underlying Settlement, Inadequate Slab Thickness, Aged/Hardened Bitumen"
324.png,transverse,1.0,"Join Issues, Underlying Settlement, Inadequate Slab Thickness, Aged/Hardened Bitumen"
325.png,transverse,3.0,"Join Issues, Underlying Settlement, Inadequate Slab Thickness, Aged/Hardened Bitumen"
326.png,transverse,2.0,"Join Issues, Underlying Settlement, Inadequate Slab Thickness, Aged/Hardened Bitumen"
327.png,transverse,1.0,"Join Issues, Underlying Settlement, Inadequate Slab Thickness, Aged/Hardened Bitumen"
328.png,transverse,1.0,"Join Issues, Underlying Settlement, Inadequate Slab Thickness, Aged/Hardened Bitumen"
329.png,transverse,1.0,"Join Issues, Underlying Settlement, Inadequate Slab Thickness, Aged/Hardened Bitumen"
330.png,transverse,1.0,"Join Issues, Underlying Settlement, Inadequate Slab Thickness, Aged/Hardened Bitumen"
331.png,transverse,1.0,"Join Issues, Underlying Settlement, Inadequate Slab Thickness, Aged/Hardened Bitumen"
332.png,transverse,1.0,"Join Issues, Underlying Settlement, Inadequate Slab Thickness, Aged/Hardened Bitumen"
333.png,transverse,2.0,"Join Issues, Underlying Settlement, Inadequate Slab Thickness, Aged/Hardened Bitumen"
334.png,block,4.0,"Join Issues, Inadequate Slab Thickness, Aged/Hardened Bitumen"
335.png,transverse,1.0,"Join Issues, Underlying Settlement, Inadequate Slab Thickness, Aged/Hardened Bitumen"
336.png,transverse,1.0,"Join Issues, Underlying Settlement, Inadequate Slab Thickness, Aged/Hardened Bitumen"
337.png,transverse,3.0,"Join Issues, Underlying Settlement, Inadequate Slab Thickness, Moisture, Wearing Course Issues"
338.png,block,3.0,"Join Issues, Inadequate Slab Thickness, Aged/Hardened Bitumen"
339.png,crescent,2.0,"Wearing Course Issues, Moisture"
340.png,transverse,2.0,"Join Issues, Underlying Settlement, Inadequate Slab Thickness, Moisture, Aged/Hardened Bitumen"
341.png,crescent,1.0,"Wearing Course Issues, Moisture"
342.png,transverse,3.0,"Join Issues, Underlying Settlement, Inadequate Slab Thickness, Aged/Hardened Bitumen"
343.png,transverse,1.0,"Join Issues, Underlying Settlement, Inadequate Slab Thickness, Aged/Hardened Bitumen"
344.png,transverse,2.0,"Join Issues, Underlying Settlement, Inadequate Slab Thickness, Aged/Hardened Bitumen"
345.png,meandering,4.0,"Underlying Settlement, Inadequate Slab Thickness, Moisture"
346.png,transverse,2.0,"Join Issues, Underlying Settlement, Inadequate Slab Thickness, Aged/Hardened Bitumen"
347.png,block,6.0,"Join Issues, Inadequate Slab Thickness, Aged/Hardened Bitumen, Moisture"
348.png,transverse,2.0,"Join Issues, Underlying Settlement, Inadequate Slab Thickness, Moisture, Aged/Hardened Bitumen"
349.png,block,5.0,"Join Issues, Inadequate Slab Thickness, Aged/Hardened Bitumen"
350.png,transverse,2.0,"Join Issues, Underlying Settlement, Inadequate Slab Thickness, Aged/Hardened Bitumen, Moisture"
351.png,transverse,3.0,"Join Issues, Underlying Settlement, Inadequate Slab Thickness, Aged/Hardened Bitumen"
352.png,transverse,2.0,"Join Issues, Underlying Settlement, Inadequate Slab Thickness, Aged/Hardened Bitumen"
353.png,block,3.0,"Join Issues, Inadequate Slab Thickness, Wearing Course Issues, Moisture"
354.png,transverse,1.0,"Join Issues, Underlying Settlement, Inadequate Slab Thickness, Aged/Hardened Bitumen"
355.png,transverse,3.0,"Join Issues, Underlying Settlement, Inadequate Slab Thickness, Aged/Hardened Bitumen"
356.png,transverse,2.0,"Join Issues, Underlying Settlement, Inadequate Slab Thickness, Aged/Hardened Bitumen"
357.png,block,7.0,"Join Issues, Inadequate Slab Thickness, Aged/Hardened Bitumen, Moisture"
358.png,transverse,2.0,"Join Issues, Underlying Settlement, Inadequate Slab Thickness, Moisture, Aged/Hardened Bitumen"
359.png,transverse,1.0,"Join Issues, Underlying Settlement, Inadequate Slab Thickness, Aged/Hardened Bitumen"
360.png,block,5.0,"Join Issues, Inadequate Slab Thickness, Aged/Hardened Bitumen, Moisture"
361.png,block,8.0,"Join Issues, Inadequate Slab Thickness, Aged/Hardened Bitumen, Moisture"
362.png,block,3.0,"Join Issues, Inadequate Slab Thickness, Aged/Hardened Bitumen, Moisture"
363.png,transverse,2.0,"Join Issues, Underlying Settlement, Inadequate Slab Thickness, Wearing Course Issues"
364.png,transverse,1.0,"Join Issues, Underlying Settlement, Inadequate Slab Thickness, Aged/Hardened Bitumen"
365.png,transverse,1.0,"Join Issues, Underlying Settlement, Inadequate Slab Thickness, Aged/Hardened Bitumen"
366.png,transverse,1.0,"Join Issues, Underlying Settlement, Inadequate Slab Thickness, Wearing Course Issues"
367.png,transverse,1.0,"Join Issues, Underlying Settlement, Inadequate Slab Thickness, Aged/Hardened Bitumen"
368.png,transverse,1.0,"Join Issues, Underlying Settlement, Inadequate Slab Thickness, Aged/Hardened Bitumen, Moisture"
369.png,block,4.0,"Join Issues, Inadequate Slab Thickness, Aged/Hardened Bitumen"
370.png,meandering,6.0,"Underlying Settlement, Inadequate Slab Thickness, Moisture, Tree Roots"
371.png,block,7.0,"Join Issues, Inadequate Slab Thickness, Aged/Hardened Bitumen, Moisture"
372.png,block,7.0,"Join Issues, Inadequate Slab Thickness, Aged/Hardened Bitumen"
373.png,crescent,4.0,"Wearing Course Issues, Moisture"
374.png,transverse,3.0,"Join Issues, Underlying Settlement, Inadequate Slab Thickness, Aged/Hardened Bitumen, Moisture"
375.png,transverse,2.0,"Join Issues, Underlying Settlement, Inadequate Slab Thickness, Wearing Course Issues"
376.png,longitudinal,4.0,"Join Issues, Moisture"
377.png,transverse,3.0,"Join Issues, Underlying Settlement, Inadequate Slab Thickness, Aged/Hardened Bitumen"
378.png,block,6.0,"Join Issues, Inadequate Slab Thickness, Aged/Hardened Bitumen, Wearing Course Issues, Moisture"
379.png,transverse,1.0,"Join Issues, Underlying Settlement, Inadequate Slab Thickness, Aged/Hardened Bitumen"
380.png,transverse,1.0,"Join Issues, Underlying Settlement, Inadequate Slab Thickness, Wearing Course Issues, Moisture"
381.png,block,2.0,"Join Issues, Inadequate Slab Thickness, Wearing Course Issues, Moisture"
382.png,block,2.0,"Join Issues, Inadequate Slab Thickness, Aged/Hardened Bitumen"
383.png,block,3.0,"Join Issues, Inadequate Slab Thickness, Wearing Course Issues, Moisture"
384.png,transverse,1.0,"Join Issues, Underlying Settlement, Inadequate Slab Thickness, Aged/Hardened Bitumen, Moisture"
385.png,block,5.0,"Join Issues, Inadequate Slab Thickness, Wearing Course Issues, Moisture"
386.png,crescent,1.0,"Wearing Course Issues, Moisture"
387.png,block,2.0,"Join Issues, Inadequate Slab Thickness, Aged/Hardened Bitumen"
388.png,transverse,1.0,"Join Issues, Underlying Settlement, Inadequate Slab Thickness, Aged/Hardened Bitumen"
389.png,crescent,4.0,"Wearing Course Issues, Moisture"
390.png,block,5.0,"Join Issues, Inadequate Slab Thickness, Aged/Hardened Bitumen"
391.png,transverse,1.0,"Join Issues, Underlying Settlement, Inadequate Slab Thickness, Aged/Hardened Bitumen"
392.png,crescent,1.0,"Wearing Course Issues, Moisture"
393.png,transverse,2.0,"Join Issues, Underlying Settlement, Inadequate Slab Thickness, Aged/Hardened Bitumen"
394.png,block,3.0,"Join Issues, Inadequate Slab Thickness, Aged/Hardened Bitumen, Moisture"
395.png,transverse,1.0,"Join Issues, Underlying Settlement, Inadequate Slab Thickness, Aged/Hardened Bitumen"
396.png,block,5.0,"Join Issues, Inadequate Slab Thickness, Aged/Hardened Bitumen"
397.png,longitudinal,2.0,Join Issues
398.png,crescent,1.0,"Wearing Course Issues, Moisture"
399.png,transverse,1.0,"Join Issues, Underlying Settlement, Inadequate Slab Thickness, Aged/Hardened Bitumen"
400.png,transverse,2.0,"Join Issues, Underlying Settlement, Inadequate Slab Thickness, Aged/Hardened Bitumen"
401.png,transverse,2.0,"Join Issues, Underlying Settlement, Inadequate Slab Thickness, Aged/Hardened Bitumen"
402.png,transverse,1.0,"Join Issues, Underlying Settlement, Inadequate Slab Thickness, Aged/Hardened Bitumen"
403.png,transverse,1.0,"Join Issues, Underlying Settlement, Inadequate Slab Thickness, Aged/Hardened Bitumen"
404.png,crescent,1.0,"Wearing Course Issues, Moisture"
405.png,block,2.0,"Join Issues, Inadequate Slab Thickness, Wearing Course Issues, Moisture"
406.png,transverse,1.0,"Join Issues, Underlying Settlement, Inadequate Slab Thickness, Aged/Hardened Bitumen"
407.png,transverse,2.0,"Join Issues, Underlying Settlement, Inadequate Slab Thickness, Aged/Hardened Bitumen"
408.png,transverse,1.0,"Join Issues, Underlying Settlement, Inadequate Slab Thickness, Wearing Course Issues"
409.png,transverse,3.0,"Join Issues, Underlying Settlement, Inadequate Slab Thickness, Wearing Course Issues, Moisture"
410.png,transverse,1.0,"Join Issues, Underlying Settlement, Inadequate Slab Thickness, Aged/Hardened Bitumen"
411.png,block,3.0,"Join Issues, Inadequate Slab Thickness, Wearing Course Issues, Moisture"
412.png,transverse,2.0,"Join Issues, Underlying Settlement, Inadequate Slab Thickness, Aged/Hardened Bitumen"
413.png,transverse,3.0,"Join Issues, Underlying Settlement, Inadequate Slab Thickness, Aged/Hardened Bitumen"
414.png,transverse,1.0,"Join Issues, Underlying Settlement, Inadequate Slab Thickness, Aged/Hardened Bitumen"
415.png,transverse,1.0,"Join Issues, Underlying Settlement, Inadequate Slab Thickness, Wearing Course Issues"
416.png,transverse,1.0,"Join Issues, Underlying Settlement, Inadequate Slab Thickness, Aged/Hardened Bitumen, Moisture"
417.png,transverse,1.0,"Join Issues, Underlying Settlement, Inadequate Slab Thickness, Aged/Hardened Bitumen"
418.png,crescent,1.0,"Wearing Course Issues, Moisture"
419.png,transverse,1.0,"Join Issues, Underlying Settlement, Inadequate Slab Thickness, Aged/Hardened Bitumen"
420.png,transverse,1.0,"Join Issues, Underlying Settlement, Inadequate Slab Thickness, Aged/Hardened Bitumen"
421.png,transverse,1.0,"Join Issues, Underlying Settlement, Inadequate Slab Thickness, Aged/Hardened Bitumen"
422.png,transverse,3.0,"Join Issues, Underlying Settlement, Inadequate Slab Thickness, Aged/Hardened Bitumen"
423.png,transverse,2.0,"Join Issues, Underlying Settlement, Inadequate Slab Thickness, Aged/Hardened Bitumen"
424.png,transverse,1.0,"Join Issues, Underlying Settlement, Inadequate Slab Thickness, Aged/Hardened Bitumen"
425.png,transverse,2.0,"Join Issues, Underlying Settlement, Inadequate Slab Thickness, Aged/Hardened Bitumen"
426.png,longitudinal,2.0,Join Issues
427.png,transverse,1.0,"Join Issues, Underlying Settlement, Inadequate Slab Thickness, Aged/Hardened Bitumen"
428.png,transverse,2.0,"Join Issues, Underlying Settlement, Inadequate Slab Thickness, Aged/Hardened Bitumen"
429.png,diagonal,2.0,"Join Issues, Underlying Settlement, Inadequate Slab Thickness, Moisture, Wearing Course Issues"
430.png,block,3.0,"Join Issues, Inadequate Slab Thickness, Aged/Hardened Bitumen"
431.png,meandering,6.0,"Underlying Settlement, Inadequate Slab Thickness, Moisture, Tree Roots"
432.png,block,6.0,"Join Issues, Inadequate Slab Thickness, Aged/Hardened Bitumen"
433.png,longitudinal,3.0,Join Issues
434.png,crescent,5.0,"Wearing Course Issues, Moisture"
435.png,transverse,2.0,"Join Issues, Underlying Settlement, Inadequate Slab Thickness, Aged/Hardened Bitumen"
436.png,crescent,1.0,"Wearing Course Issues, Moisture"
437.png,meandering,4.0,"Underlying Settlement, Inadequate Slab Thickness, Moisture"
438.png,block,2.0,"Join Issues, Inadequate Slab Thickness, Wearing Course Issues, Moisture"
439.png,transverse,1.0,"Join Issues, Underlying Settlement, Inadequate Slab Thickness, Aged/Hardened Bitumen"
440.png,transverse,1.0,"Join Issues, Underlying Settlement, Inadequate Slab Thickness, Aged/Hardened Bitumen"
441.png,transverse,1.0,"Join Issues, Underlying Settlement, Inadequate Slab Thickness, Aged/Hardened Bitumen"
442.png,block,4.0,"Join Issues, Inadequate Slab Thickness, Wearing Course Issues, Moisture"
443.png,block,2.0,"Join Issues, Inadequate Slab Thickness, Aged/Hardened Bitumen"
444.png,block,3.0,"Join Issues, Inadequate Slab Thickness, Aged/Hardened Bitumen"
445.png,transverse,2.0,"Join Issues, Underlying Settlement, Inadequate Slab Thickness, Aged/Hardened Bitumen"
446.png,transverse,2.0,"Join Issues, Underlying Settlement, Inadequate Slab Thickness, Aged/Hardened Bitumen"
447.png,transverse,1.0,"Join Issues, Underlying Settlement, Inadequate Slab Thickness, Wearing Course Issues, Moisture"
448.png,block,3.0,"Join Issues, Inadequate Slab Thickness, Aged/Hardened Bitumen"
449.png,meandering,5.0,"Underlying Settlement, Inadequate Slab Thickness, Moisture"
450.png,transverse,1.0,"Join Issues, Underlying Settlement, Inadequate Slab Thickness, Aged/Hardened Bitumen"
451.png,transverse,1.0,"Join Issues, Underlying Settlement, Inadequate Slab Thickness, Aged/Hardened Bitumen"
452.png,meandering,8.0,"Underlying Settlement, Inadequate Slab Thickness, Tree Roots, Moisture, Wearing Course Issues"
453.png,transverse,1.0,"Join Issues, Underlying Settlement, Inadequate Slab Thickness, Aged/Hardened Bitumen, Moisture"
454.png,crescent,4.0,"Wearing Course Issues, Moisture"
455.png,transverse,1.0,"Join Issues, Underlying Settlement, Inadequate Slab Thickness, Aged/Hardened Bitumen"
456.png,transverse,1.0,"Join Issues, Underlying Settlement, Inadequate Slab Thickness, Aged/Hardened Bitumen"
457.png,block,3.0,"Join Issues, Inadequate Slab Thickness, Aged/Hardened Bitumen"
458.png,transverse,1.0,"Join Issues, Underlying Settlement, Inadequate Slab Thickness, Aged/Hardened Bitumen, Moisture"
459.png,block,4.0,"Join Issues, Inadequate Slab Thickness, Aged/Hardened Bitumen"
460.png,block,2.0,"Join Issues, Inadequate Slab Thickness, Aged/Hardened Bitumen"
461.png,transverse,1.0,"Join Issues, Underlying Settlement, Inadequate Slab Thickness, Aged/Hardened Bitumen"
462.png,longitudinal,1.0,Join Issues
463.png,block,5.0,"Join Issues, Inadequate Slab Thickness, Moisture, Aged/Hardened Bitumen"
464.png,transverse,1.0,"Join Issues, Underlying Settlement, Inadequate Slab Thickness, Aged/Hardened Bitumen"
465.png,transverse,1.0,"Join Issues, Underlying Settlement, Inadequate Slab Thickness, Aged/Hardened Bitumen"
466.png,block,3.0,"Join Issues, Inadequate Slab Thickness, Aged/Hardened Bitumen"
467.png,transverse,1.0,"Join Issues, Underlying Settlement, Inadequate Slab Thickness, Aged/Hardened Bitumen, Moisture"
468.png,transverse,1.0,"Join Issues, Underlying Settlement, Inadequate Slab Thickness, Aged/Hardened Bitumen"
469.png,block,2.0,"Join Issues, Inadequate Slab Thickness, Aged/Hardened Bitumen"
470.png,transverse,2.0,"Join Issues, Underlying Settlement, Inadequate Slab Thickness, Aged/Hardened Bitumen"
471.png,transverse,1.0,"Join Issues, Underlying Settlement, Inadequate Slab Thickness, Aged/Hardened Bitumen"
472.png,transverse,4.0,"Join Issues, Underlying Settlement, Inadequate Slab Thickness, Aged/Hardened Bitumen"
473.png,transverse,1.0,"Join Issues, Underlying Settlement, Inadequate Slab Thickness, Aged/Hardened Bitumen"
474.png,longitudinal,1.0,Join Issues
475.png,transverse,3.0,"Join Issues, Underlying Settlement, Inadequate Slab Thickness, Aged/Hardened Bitumen"
476.png,block,4.0,"Join Issues, Inadequate Slab Thickness, Wearing Course Issues, Moisture"
477.png,transverse,2.0,"Join Issues, Underlying Settlement, Inadequate Slab Thickness, Aged/Hardened Bitumen"
478.png,transverse,1.0,"Join Issues, Underlying Settlement, Inadequate Slab Thickness, Aged/Hardened Bitumen"
479.png,crescent,1.0,"Join Issues, Underlying Settlement, Inadequate Slab Thickness, Aged/Hardened Bitumen"
480.png,transverse,2.0,"Join Issues, Underlying Settlement, Inadequate Slab Thickness, Aged/Hardened Bitumen"
481.png,block,8.0,"Join Issues, Inadequate Slab Thickness, Aged/Hardened Bitumen"
482.png,meandering,7.0,"Underlying Settlement, Inadequate Slab Thickness, Tree Roots, Moisture"
483.png,transverse,2.0,"Join Issues, Underlying Settlement, Inadequate Slab Thickness, Wearing Course Issues"
484.png,longitudinal,3.0,"Join Issues, Moisture"
485.png,longitudinal,2.0,"Join Issues, Moisture"
486.png,transverse,2.0,"Join Issues, Underlying Settlement, Inadequate Slab Thickness, Aged/Hardened Bitumen"
487.png,transverse,1.0,"Join Issues, Underlying Settlement, Inadequate Slab Thickness, Aged/Hardened Bitumen"
488.png,meandering,4.0,"Underlying Settlement, Inadequate Slab Thickness, Moisture"
489.png,transverse,1.0,"Join Issues, Underlying Settlement, Inadequate Slab Thickness, Moisture, Aged/Hardened Bitumen"
490.png,transverse,1.0,"Join Issues, Underlying Settlement, Inadequate Slab Thickness, Aged/Hardened Bitumen"
491.png,transverse,2.0,"Join Issues, Underlying Settlement, Inadequate Slab Thickness, Aged/Hardened Bitumen"
492.png,block,8.0,"Join Issues, Inadequate Slab Thickness, Moisture, Wearing Course Issues"
493.png,transverse,1.0,"Join Issues, Underlying Settlement, Inadequate Slab Thickness, Aged/Hardened Bitumen"
494.png,block,5.0,"Join Issues, Inadequate Slab Thickness, Aged/Hardened Bitumen, Moisture"
495.png,transverse,1.0,"Join Issues, Underlying Settlement, Inadequate Slab Thickness, Aged/Hardened Bitumen"
496.png,transverse,2.0,"Join Issues, Underlying Settlement, Inadequate Slab Thickness, Aged/Hardened Bitumen"
497.png,block,3.0,"Join Issues, Inadequate Slab Thickness, Aged/Hardened Bitumen"
498.png,transverse,2.0,"Join Issues, Underlying Settlement, Inadequate Slab Thickness, Aged/Hardened Bitumen"
499.png,transverse,2.0,"Join Issues, Underlying Settlement, Inadequate Slab Thickness, Aged/Hardened Bitumen, Moisture"
500.png,crescent,3.0,"Join Issues, Underlying Settlement, Inadequate Slab Thickness, Aged/Hardened Bitumen"
501.png,crescent,1.0,"Wearing Course Issues, Moisture"
502.png,diagonal,3.0,"Join Issues, Underlying Settlement, Inadequate Slab Thickness, Moisture, Wearing Course Issues"
503.png,meandering,1.0,"Moisture, Wearing Course Issues, Underlying Settlement, Inadequate Slab Thickness"
504.png,transverse,1.0,"Join Issues, Underlying Settlement, Inadequate Slab Thickness, Aged/Hardened Bitumen"
505.png,meandering,4.0,"Underlying Settlement, Inadequate Slab Thickness, Moisture, Tree Roots"
506.png,transverse,4.0,"Join Issues, Underlying Settlement, Inadequate Slab Thickness, Aged/Hardened Bitumen"
507.png,block,6.0,"Join Issues, Inadequate Slab Thickness, Moisture, Wearing Course Issues"
508.png,transverse,3.0,"Join Issues, Underlying Settlement, Inadequate Slab Thickness, Aged/Hardened Bitumen"
509.png,meandering,6.0,"Underlying Settlement, Inadequate Slab Thickness, Tree Roots, Moisture, Wearing Course Issues"
510.png,transverse,1.0,"Join Issues, Underlying Settlement, Inadequate Slab Thickness, Aged/Hardened Bitumen"
511.png,block,5.0,"Join Issues, Inadequate Slab Thickness, Aged/Hardened Bitumen"
512.png,block,4.0,"Join Issues, Inadequate Slab Thickness, Aged/Hardened Bitumen"
513.png,transverse,4.0,"Join Issues, Underlying Settlement, Inadequate Slab Thickness, Moisture, Aged/Hardened Bitumen"
514.png,diagonal,2.0,"Join Issues, Underlying Settlement, Inadequate Slab Thickness, Aged/Hardened Bitumen"
515.png,block,5.0,"Join Issues, Inadequate Slab Thickness, Aged/Hardened Bitumen"
516.png,block,5.0,"Join Issues, Inadequate Slab Thickness, Aged/Hardened Bitumen, Moisture"
517.png,diagonal,1.0,"Join Issues, Underlying Settlement, Inadequate Slab Thickness, Tree Roots, Aged/Hardened Bitumen"
518.png,crescent,1.0,"Wearing Course Issues, Moisture"
519.png,crescent,3.0,"Moisture, Wearing Course Issues"
520.png,crescent,2.0,"Moisture, Wearing Course Issues"
521.png,transverse,2.0,"Join Issues, Underlying Settlement, Inadequate Slab Thickness, Aged/Hardened Bitumen"
522.png,block,5.0,"Join Issues, Inadequate Slab Thickness, Moisture, Wearing Course Issues"
523.png,meandering,5.0,"Underlying Settlement, Inadequate Slab Thickness, Moisture, Tree Roots"
524.png,transverse,2.0,"Join Issues, Underlying Settlement, Inadequate Slab Thickness, Moisture, Aged/Hardened Bitumen"
525.png,block,2.0,"Join Issues, Inadequate Slab Thickness, Wearing Course Issues, Moisture"
526.png,meandering,4.0,"Underlying Settlement, Inadequate Slab Thickness, Tree Roots, Moisture"
527.png,transverse,1.0,"Join Issues, Underlying Settlement, Moisture, Wearing Course Issues"
528.png,transverse,1.0,"Join Issues, Underlying Settlement, Inadequate Slab Thickness, Aged/Hardened Bitumen"
529.png,transverse,2.0,"Join Issues, Underlying Settlement, Inadequate Slab Thickness, Aged/Hardened Bitumen"
530.png,block,3.0,"Join Issues, Inadequate Slab Thickness, Aged/Hardened Bitumen, Moisture"
531.png,block,4.0,"Join Issues, Inadequate Slab Thickness, Wearing Course Issues, Moisture"
532.png,block,5.0,"Join Issues, Inadequate Slab Thickness, Aged/Hardened Bitumen"
533.png,transverse,1.0,"Join Issues, Underlying Settlement, Inadequate Slab Thickness, Moisture, Aged/Hardened Bitumen"
534.png,transverse,4.0,"Join Issues, Underlying Settlement, Inadequate Slab Thickness, Moisture, Aged/Hardened Bitumen"
535.png,transverse,2.0,"Join Issues, Underlying Settlement, Inadequate Slab Thickness, Moisture, Wearing Course Issues"
536.png,transverse,1.0,"Join Issues, Underlying Settlement, Inadequate Slab Thickness, Aged/Hardened Bitumen"
537.png,transverse,2.0,"Join Issues, Underlying Settlement, Inadequate Slab Thickness, Aged/Hardened Bitumen"
538.png,transverse,1.0,"Join Issues, Underlying Settlement, Inadequate Slab Thickness, Wearing Course Issues, Moisture"
539.png,meandering,3.0,"Tree Roots, Moisture, Underlying Settlement, Inadequate Slab Thickness"
540.png,diagonal,2.0,"Join Issues, Underlying Settlement, Inadequate Slab Thickness, Tree Roots, Aged/Hardened Bitumen, Moisture"
541.png,transverse,1.0,"Join Issues, Underlying Settlement, Inadequate Slab Thickness, Aged/Hardened Bitumen"
542.png,transverse,1.0,"Join Issues, Underlying Settlement, Inadequate Slab Thickness, Aged/Hardened Bitumen"
543.png,diagonal,1.0,"Join Issues, Underlying Settlement, Inadequate Slab Thickness, Aged/Hardened Bitumen, Tree Roots"
544.png,transverse,1.0,"Join Issues, Underlying Settlement, Inadequate Slab Thickness, Aged/Hardened Bitumen"
545.png,crescent,3.0,"Wearing Course Issues, Moisture"
546.png,meandering,2.0,"Underlying Settlement, Inadequate Slab Thickness, Aged/Hardened Bitumen, Moisture"
547.png,transverse,1.0,"Join Issues, Underlying Settlement, Inadequate Slab Thickness, Aged/Hardened Bitumen"
548.png,meandering,3.0,"Underlying Settlement, Inadequate Slab Thickness, Moisture, Tree Roots"
549.png,block,3.0,"Join Issues, Inadequate Slab Thickness, Moisture, Wearing Course Issues"
550.png,block,4.0,"Join Issues, Inadequate Slab Thickness, Moisture, Wearing Course Issues"
551.png,transverse,2.0,"Join Issues, Underlying Settlement, Inadequate Slab Thickness, Aged/Hardened Bitumen"
552.png,block,5.0,"Join Issues, Inadequate Slab Thickness, Aged/Hardened Bitumen"
553.png,transverse,3.0,"Join Issues, Underlying Settlement, Inadequate Slab Thickness, Moisture, Aged/Hardened Bitumen"
554.png,meandering,5.0,"Underlying Settlement, Inadequate Slab Thickness, Tree Roots, Moisture"
555.png,transverse,1.0,"Join Issues, Underlying Settlement, Inadequate Slab Thickness, Aged/Hardened Bitumen"
556.png,transverse,1.0,"Join Issues, Underlying Settlement, Inadequate Slab Thickness, Aged/Hardened Bitumen"
557.png,transverse,1.0,"Join Issues, Underlying Settlement, Inadequate Slab Thickness, Aged/Hardened Bitumen"
558.png,transverse,1.0,"Join Issues, Underlying Settlement, Inadequate Slab Thickness, Aged/Hardened Bitumen"
559.png,transverse,3.0,"Join Issues, Underlying Settlement, Inadequate Slab Thickness, Aged/Hardened Bitumen"
560.png,transverse,1.0,"Join Issues, Underlying Settlement, Inadequate Slab Thickness, Aged/Hardened Bitumen, Moisture"
561.png,transverse,1.0,"Join Issues, Underlying Settlement, Inadequate Slab Thickness, Aged/Hardened Bitumen"
562.png,crescent,1.0,"Wearing Course Issues, Moisture"
563.png,transverse,1.0,"Join Issues, Underlying Settlement, Inadequate Slab Thickness, Aged/Hardened Bitumen, Moisture"
564.png,transverse,1.0,"Join Issues, Underlying Settlement, Inadequate Slab Thickness, Aged/Hardened Bitumen"
565.png,block,4.0,"Join Issues, Inadequate Slab Thickness, Aged/Hardened Bitumen"
